Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years’ time?,What do you think the average income for the class with be in ten years’ time?,What is the ideal age to get married?,When did you start your studies at Fontys?
6-9-2017 12:59:18,Dark,One Plus,Male,Dutch,Train and Bike,Software engineering,Daily,5,120,70000,65000,,01-09-2013
6-9-2017 12:59:22,Milk,iPhone,Male,Dutch,Car,Media Design,5 times a day,6,€50,2500,2800,,q
6-9-2017 12:59:23,Milk,Huawei,Male,Dutch,Public transit,Software,once a day,5,40 EUR,20000 EUR,30000 EUR,,2014
6-9-2017 12:59:32,Milk,Samsung,Male,Dutch,Bus,Software Engineering,never,10,120 EUR,50000 EUR,48000 EUR,,Sep 2014
6-9-2017 12:59:41,Dark,iPhone 5s,Male,Dutch,Bike/Train,Software Engineering,Every day,6,150,No idea,No idea,,2014
6-9-2017 12:59:42,White ,Sony xperia z5 premium,Man,Netherlands,Bicycle,Applied Data Science,Not,8,120 euro,4000 euro,4000 euro,,2012
6-9-2017 13:00:06,White,iPhone 6S,Male,Dutch,Car,Big Data,Once a day,7,120,200.000,150.000,,2014
6-9-2017 13:00:35,Dulcey,Iphone,Male,French,Bike,Entrepreneurship,20 times a day,4,75,70000,70000,,2017
6-9-2017 13:00:37,White,Android,Vegan Transgender,extraterrestrial,By Bike,ICT and Business,"If you do not put multiple choice answers for this type of question, you will get kind of answers which you probably don't want - like this one",I really like that I can type letters instead of numbers for this question,60,I wanna be a billionaire so freaking bad,Unemployed,,2015
6-9-2017 13:01:59,black,smartphone,male,French,Bicycle,Mechanical,More 5/days,5,90,50000,50000,,August 2017
6-9-2017 13:02:04,Dark,LG Nexus 5X,Male,Dutch,"By bus, train and foot",Software engineering,15,5,€20,€70.000,€55.000,,2014
6-9-2017 13:02:07,Dark chocolate,Nexus,Male,Saudi,Bike,ICT & Software Engineering,Regularly,4,5,I don't know,I don't know,,2015
6-9-2017 13:02:11,Dark,Motorola X Style,Man,Dutch,By Car,Software Engineering,once a week,5,100 euro,1.000.000 Euros,500.000 Euros,,2014
6-9-2017 13:02:15,none,Iphone,male,Dutch,Bus,Software,42,5,0,50000,50000,,2014
6-9-2017 13:02:27,White,Samsung,Male,French,Bike,Data Bases,More than 10 times a day,3,80€,60000,50000,,28/08/2017
6-9-2017 13:02:28,Dark,OnePlus3,Male,Dutch,Bike,GCD,10 times a day,10,60 euro's,40.000,40.000,,2014
6-9-2017 13:03:01,Melk,iPhone 6s,M,Nederlandse,Fiets,ICT & Technology,Niet zo vaak,Geen idee,25 euro ofzo,Geen idee eigenlijk,Weet ik ook niet,,2014 volgens mij
6-9-2017 13:03:36,Milk,Samsung,Male,Dutch,Car,Software ,twice a day,10,€180,40000,45000,,2014
6-9-2017 13:03:40,black,iPhone 6,male,Dutch,bus,math,too much,4,200 euro,4k,3.5k,,2013
6-9-2017 13:03:45,Pure,Android,Male,Dutch,Scooter,Software,once a day,15,€100,€40.000,€35.000,,2014
6-9-2017 13:04:30,Black,Sony Xperia E,Male,Dutch,Bicycle,Software Engineering,Never,12,65,A lot,About as much,,2014
6-9-2017 13:04:40,white,Motorola,Man,Dutch,Car,Software engineering,2 to 3 times a day,10,110,60.000,60.000,,2014
6-9-2017 13:05:10,Pure,OnePlus 5 MasterRace,Male,Dutch,Scooter,Software,once a day,15,€100,€40.000,€35.000,,2014
6-9-2017 13:05:16,milk,Samsung S6,Male,Dutch,Car,Software Engineering,To often,15,50,1337000,.01,,2014
6-9-2017 13:05:23,Milk,iPhone SE,Male,Dutch,Bike,Software Engineering,Never,4,60,32000,32000,,September 2015
6-9-2017 13:05:54,Milk with hazelnoot,Nokia from stenentijdperk,Alpha Male,Dutch,Linkerbaan,Data Science,1,~1337,-10,10000000e1000,googolplex,,2013
6-9-2017 13:06:04,Milk,Samsung Galaxy S5,Male,The Netherlands,Bike,Software Engineering,20x a day,15,150,50k,50k,,2014
6-9-2017 13:06:07,Milk,Samsung,Male,Dutch,Train,ICT & Software Engineering,Rarely,Some,Dnno,Reasonable,Dnno,,3 years ago
6-9-2017 13:06:29,Puur chocolade,Samsung Galaxy A5,Male,Dutch,By Bike,Software Engineering,Once a day,10,60,51k,50k,,2014
6-9-2017 13:06:30,Milk,OnePlus 3,Meel,Dutch,Bicycle,Software Engineering,Never,5,80,30000,25000,,September 2014
6-9-2017 13:06:50,Nothing,OnePlus,Male,Nederlandse,I was cycling to college,Computer Science,It's open but that pice of shit barely get read,,,,,,IDK
6-9-2017 13:06:52,Dark black,Apple iPhone 6 S,Helicopter,Nederlands,By Bycicle and train and bus,Software ontwikkeling,once a hour,Around 5 to 8,100 dollars,80000,40000,,2014
6-9-2017 13:06:57,milk,one plus,male,Dutch,"bike, train and bus",Software Engineering,twice a month,3,€60,40000,40000,,2014
6-9-2017 13:07:20,,monterola g5 plus,male,dutch,car,software engineering,once every few days,did not count them,dont'know,,,,2014
6-9-2017 13:07:29,Nothing,OnePlus,Male,Nederlandse,I was cycling to college,Computer Science,It's open but that pice of shit barely get read,IDK stalker,Fuck these questions,3 million,3000,,IDK
6-9-2017 13:09:05,pure white,nokia 3310,transgender,Muslim,Camel,drugs,never,400,10k,50000000kk,1242112kk,,not
6-9-2017 13:09:20,triple chocolate oreo,iphone,man,dutch,OV,Data,many,15,150,23403,23402,,2013
6-9-2017 15:18:52,Milk,Huawei,Male,Dutch,Public transit,Software,once a day,5,40 EUR,20000 EUR,30000 EUR,,2014
